# Log10(wave)  Resid
 3.6603000 1.00466
 3.6604000 1.00467
 3.6605000 1.00365
 3.6606000 1.00099
 3.6607000 1.00060
 3.6608000 1.00042
 3.6609000 0.997917
 3.6610000 0.997319
 3.6611000 0.997807
 3.6612000 0.996439
 3.6613000 0.996709
 3.6614000 0.998575
 3.6615000 0.997415
 3.6616000 0.999108
 3.6617000 0.999984
 3.6618000 1.00003
 3.6619000 1.00029
 3.6620000 1.00181
 3.6621000 1.00353
 3.6622000 1.00456
 3.6623000 1.00405
 3.6624000 1.00275
 3.6625000 1.00256
 3.6626000 1.00232
 3.6627000 1.00244
 3.6628000 1.00452
 3.6629000 1.00551
 3.6630000 1.00561
 3.6631000 1.00421
 3.6632000 1.00559
 3.6633000 1.00231
 3.6634000 1.00351
 3.6635000 1.00426
 3.6636000 1.00364
 3.6637000 1.00421
 3.6638000 1.00468
 3.6639000 1.00451
 3.6640000 1.00552
 3.6641000 1.00573
 3.6642000 1.00658
 3.6643000 1.00770
 3.6644000 1.00357
 3.6645000 1.00353
 3.6646000 1.00606
 3.6647000 1.00504
 3.6648000 1.00450
 3.6649000 1.00507
 3.6650000 1.00438
 3.6651000 1.00201
 3.6652000 1.00442
 3.6653000 1.00276
 3.6654000 1.00352
 3.6655000 1.00344
